Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
220,20,18.8,0.0,AAA,20:00 25-Dec-2018 UTC
230,18,18.2,0.0,AAA,19:00 25-Dec-2018 UTC
230,20,17.8,0.0,AAA,18:00 25-Dec-2018 UTC
230,18,17.7,0.0,AAA,17:00 25-Dec-2018 UTC
230,20,17.9,0.0,AAA,16:00 25-Dec-2018 UTC
240,17,18.0,0.0,AAA,15:00 25-Dec-2018 UTC
230,21,18.5,0.0,AAA,14:00 25-Dec-2018 UTC
230,18,18.4,0.0,AAA,13:00 25-Dec-2018 UTC
230,18,18.4,0.0,AAA,12:00 25-Dec-2018 UTC
230,18,18.3,0.0,AAA,11:00 25-Dec-2018 UTC
210,15,18.5,0.0,AAA,10:00 25-Dec-2018 UTC
200,10,17.8,0.0,AAA,09:00 25-Dec-2018 UTC
180,10,17.6,0.0,AAA,08:00 25-Dec-2018 UTC
160,12,17.8,0.0,AAA,07:00 25-Dec-2018 UTC
120,11,17.9,0.2,AAA,06:00 25-Dec-2018 UTC
090,09,17.1,3.4,AAA,05:00 25-Dec-2018 UTC
060,11,17.5,2.0,AAA,04:00 25-Dec-2018 UTC
040,10,17.0,1.8,AAA,03:00 25-Dec-2018 UTC
360,09,18.4,1.8,AAA,02:00 25-Dec-2018 UTC
310,13,15.6,12.2,AAA,01:00 25-Dec-2018 UTC
020,14,20.4,1.2,AAA,00:00 25-Dec-2018 UTC
010,11,19.6,1.4,AAA,23:00 24-Dec-2018 UTC
010,12,18.7,0.0,AAA,22:00 24-Dec-2018 UTC
360,12,19.2,0.0,AAA,21:00 24-Dec-2018 UTC
010,10,19.3,0.0,AAA,20:00 24-Dec-2018 UTC
010,10,18.6,0.0,AAA,19:00 24-Dec-2018 UTC
020,08,17.1,0.0,AAA,18:00 24-Dec-2018 UTC
360,10,17.5,0.2,AAA,17:00 24-Dec-2018 UTC
010,12,17.5,0.2,AAA,16:00 24-Dec-2018 UTC
360,12,17.7,0.2,AAA,15:00 24-Dec-2018 UTC
020,15,18.4,0.2,AAA,14:00 24-Dec-2018 UTC
040,21,19.3,0.6,AAA,13:00 24-Dec-2018 UTC
070,15,18.9,5.0,AAA,12:00 24-Dec-2018 UTC
140,11,18.5,6.8,AAA,11:00 24-Dec-2018 UTC
140,14,18.3,9.6,AAA,10:00 24-Dec-2018 UTC
